업종명,인허가일자,업소명,소재지도로명주소,소재지지번주소,영업장면적,건물내부면적,건물외부면적,업소소재지전화,업태명
휴게음식점,1995-05-13,원당커피숍,서울특별시 강서구 강서로 381 (가양동),서울특별시 강서구 마곡동 722-1 ,80.39,80.39,0,  02- 665-8379,커피숍
휴게음식점,2003-01-21,떼르드글라스화곡우장산점,서울특별시 강서구 화곡로13길 28 (화곡동),서울특별시 강서구 화곡동 1043-0 ,28.08,28.08,0,02-1111-1111,커피숍
휴게음식점,2003-11-18,컴포즈커피,서울특별시 강서구 양천로 431 (가양동),서울특별시 강서구 가양동 18-24 ,52.6,52.6,0,  02-3663-0351,커피숍
휴게음식점,2006-03-10,샤론,"서울특별시 강서구 등촌로 101, 1층 (등촌동, 배광교회)",서울특별시 강서구 등촌동 564-1 배광교회 (지상 1층) ,155.75,155.75,0,  02-2644-0191,커피숍
휴게음식점,2008-06-20,허니네커피,"서울특별시 강서구 강서로45가길 47, 2층 202호 (화곡동, 3동)",서울특별시 강서구 화곡동 1013-13 2층 202호,82.3,82.3,0,  02-2607-7746,커피숍
휴게음식점,2008-10-08,더와이즈 커피숍,"서울특별시 강서구 까치산로 23, 1층 (화곡동, 본동)",서울특별시 강서구 화곡동 105-68 외 4필지 (지상 1층) ,45.69,45.69,0,  02-2600-5000,커피숍
휴게음식점,2008-11-25,탐앤탐스 화곡역점,"서울특별시 강서구 화곡로 176-4, 1~2일부층 (화곡동, 본동 화곡메디칼)",서울특별시 강서구 화곡동 1076-1 화곡메디칼 (지상 1~ 2층 일부) ,181.5,181.5,0,  02- 758-8271,커피숍
휴게음식점,2009-02-03,바이주 커피 로스터스(BYJOO COFFEE ROASTERS),"서울특별시 강서구 수명로 68-35, 웨스트엔드중정 3층 304호 (내발산동)",서울특별시 강서구 내발산동 750-10 웨스트엔드중정 3층 304호,101.43,101.43,0,  02-2667-3007,커피숍
휴게음식점,2009-07-22,그라나다카페,"서울특별시 강서구 허준로5길 37, A동 (가양동,(지상 1층))",서울특별시 강서구 가양동 1470-2 (지상 1층) A동 ,95,95,0,  02-3661-3402,커피숍
휴게음식점,2009-08-12,커피더캠프공덕점,"서울특별시 강서구 초원로 50, 지하1층 (방화동)",서울특별시 강서구 방화동 600-26 지하1층 ,37.5,37.5,0,  02- 711-5211,커피숍
휴게음식점,2009-10-28,커피에이엠,"서울특별시 강서구 화곡로 296, 1층 110호 (화곡동, 6동)",서울특별시 강서구 화곡동 980-21 (지상 1층) 110호,39,39,0,  02-2605-7708,커피숍
휴게음식점,2009-11-20,카페모아실로암안과병원점(실로암장애인근로사업장),"서울특별시 강서구 등촌로 181, 1층 (등촌동, 2동 실로암안과병원)",서울특별시 강서구 등촌동 512-18 외 1필지 실로암안과병원 (지상 1층) ,22.11,22.11,0,  02-2650-0700,커피숍
휴게음식점,2009-12-28,호텔디아망,"서울특별시 강서구 남부순환로 190 (외발산동,외 2필지 (지하 2층))",서울특별시 강서구 외발산동 280-1 외 2필지 (지하 2층) ,91.98,91.98,0,02-1111-1111,커피숍
휴게음식점,2010-02-22,칸토빈,"서울특별시 강서구 방화동로 지하 30, 공항시장역(9호선) 지하 1층 (공항동)",서울특별시 강서구 공항동 산 20-2 공항시장역 9호선 (지하 1층) ,62.37,62.37,0,  02-2665-7719,커피숍
휴게음식점,2010-03-05,윤지,"서울특별시 강서구 가로공원로84길 7-5 (화곡동,(지상 1층))",서울특별시 강서구 화곡동 367-116 (지상 1층) ,21.33,21.33,0,  02-2065-0369,커피숍
휴게음식점,2010-04-05,뜰안에,"서울특별시 강서구 강서로7길 150, 1층 (화곡동, 1동)",서울특별시 강서구 화곡동 936-8 (지상 1층) ,62.12,62.12,0,  02-2692-2080,커피숍
휴게음식점,2010-04-16,엔제리너스가양아름다운아울렛점,"서울특별시 강서구 양천로 476, 5호 (등촌동,(지상 7층))",서울특별시 강서구 등촌동 73-1 (지상 7층) 5호,149.38,149.38,0,  02-2169-8714,커피숍
휴게음식점,2010-04-30,카페인더애틱 Cafe in the Attic,"서울특별시 강서구 양천로 19, 1층 104호 (방화동, 1동)",서울특별시 강서구 방화동 498-4 (지상 1층) 104호,33,33,0,  02-2662-2661,커피숍
휴게음식점,2010-06-14,카페모나티,"서울특별시 강서구 남부순환로 222, 사무동 (외발산동,서울자동차학원 (지상 1층))",서울특별시 강서구 외발산동 428-0 서울자동차학원 (지상 1층) 사무동 ,5,5,0, 070-4148-0393,커피숍
휴게음식점,2010-07-22,커피타라 Coffee Tara,"서울특별시 강서구 공항대로55길 10, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동 650-0 (지상 1층) ,22.32,22.32,0,  02-3663-8201,커피숍
휴게음식점,2010-07-23,미스터로티,"서울특별시 강서구 강서로 179 (화곡동,K빌딩 (지상 1층))",서울특별시 강서구 화곡동 1051-27 K빌딩 (지상 1층) ,7.45,7.45,0,02-1111-1111,커피숍
휴게음식점,2010-07-29,아시아나타운점 까페,"서울특별시 강서구 오정로 443-83, 지하 1층 (오쇠동, 공항동)",서울특별시 강서구 오쇠동 47-0 외 1필지 (지하 1층) ,41.7,41.7,0,  02-3397-6262,커피숍
휴게음식점,2010-08-19,커피구멍가게,"서울특별시 강서구 화곡로68길 36, 1층 107호 (등촌동, 1동 에이스에이존)",서울특별시 강서구 등촌동 639-8 외1필지 에이스에이존 (지상1층) 107호,40.32,40.32,0,  02-3665-9042,커피숍
휴게음식점,2010-09-01,아리스타커피,"서울특별시 강서구 강서로56가길 53, 1층 (등촌동, 3동)",서울특별시 강서구 등촌동 679-6 (지상 1층) ,32.6,32.6,0,02-1111-1111,커피숍
휴게음식점,2010-09-17,까페베네,"서울특별시 강서구 양천로 366, 1층 (가양동, 1동)",서울특별시 강서구 가양동 105-3 외5필지 (지상 1층) ,268.71,268.71,0,  02-3661-6222,커피숍
휴게음식점,2010-10-15,커피니 강서KT점,"서울특별시 강서구 강서로5길 64 (화곡동,지상1층)",서울특별시 강서구 화곡동 893-1 지상1층 ,89.61,89.61,0,  02-2605-5115,커피숍
휴게음식점,2010-10-29,스타일카페,"서울특별시 강서구 강서로 46 (화곡동,1층)",서울특별시 강서구 화곡동 341-67 1층 ,3,3,0,02-1111-1111,커피숍
휴게음식점,2010-11-02,커피아마토르,"서울특별시 강서구 강서로 462, 106~107호 (등촌동,대룡드림타워-1 (지상 1층))",서울특별시 강서구 등촌동 684-3 대룡드림타워-1 (지상 1층) 106~107호,60.08,60.08,0,  02-2659-0520,커피숍
휴게음식점,2010-11-03,클로비스,"서울특별시 강서구 방화동로 75, 지하 1층 (방화동, 2동)",서울특별시 강서구 방화동 598-163 (지하 1층) ,13.22,13.22,0,02-1111-1111,커피숍
휴게음식점,2010-11-24,소나 카페테라,"서울특별시 강서구 강서로45길 45, 1층 102호 (화곡동, 3동)",서울특별시 강서구 화곡동 1008-11 (지상 1층) ,23.1,23.1,0,  02-2065-1810,커피숍
휴게음식점,2010-12-06,이마트24강서등마루점,"서울특별시 강서구 등촌로51길 11, 1층 (등촌동, 2동)",서울특별시 강서구 등촌동 526-1 (지상 1층) ,5,5,0,02-1111-1111,커피숍
휴게음식점,2010-12-22,하늘꿈북까페,"서울특별시 강서구 강서로45라길 28, 1층 (내발산동, 1동)",서울특별시 강서구 내발산동 720-1 (지상 1층) ,128.79,128.79,0,  02-2664-3126,커피숍
휴게음식점,2011-01-03,카페 소금다방,"서울특별시 강서구 공항대로61길 42 (염창동,(지상1층))",서울특별시 강서구 염창동 271-0 (지상1층) ,35.15,35.15,0,  02-2651-3333,커피숍
휴게음식점,2011-01-11,등촌빈스토리,"서울특별시 강서구 공항대로41길 51, 1층 129호 (등촌동, 3동 세신그린코아)",서울특별시 강서구 등촌동 696-0 세신그린코아 (지상1층) 129호,23.22,23.22,0,  02-3661-3356,커피숍
휴게음식점,2011-01-25,이디야강서점,"서울특별시 강서구 화곡로 292, 1층 104호 (화곡동, 6동 서광프리메라)",서울특별시 강서구 화곡동 981-1 외 2필지 서광프리메라 (지상 1층) 104호,68.93,68.93,0,  02- 525-5555,커피숍
휴게음식점,2011-02-01,이디야 개화산점,"서울특별시 강서구 양천로 28, 벽산에어트리움 본관동 1층 101~103호 (방화동)",서울특별시 강서구 방화동 849-0 벽산에어트리움 (지상 1층) 본관동 101~103호,95.01,95.01,0,  02-2064-1455,커피숍
휴게음식점,2011-03-14,소풍가는날,"서울특별시 강서구 공항대로59다길 85 (염창동,(지상1층))",서울특별시 강서구 염창동 267-19 (지상1층) ,25,25,0,  02-3661-4534,커피숍
휴게음식점,2011-03-29,칸토빈 가양점,"서울특별시 강서구 화곡로 429, 지하 1층 (가양동, 3동 지하철9호선 가양역사내)",서울특별시 강서구 가양동 14-84 지하철9호선 가양역사내 지하 1층 ,27.48,27.48,0,  02-3663-7716,커피숍
