업소명,소재지도로명주소,소재지지번주소,address,latitude,longitude,chain
원당커피숍,서울특별시 강서구 강서로 381,서울특별시 강서구 마곡동 722-1 ,서울특별시 강서구 마곡동 722-1,126.838208851776,37.5595493845585,
떼르드글라스화곡우장산점,서울특별시 강서구 화곡로13길 28,서울특별시 강서구 화곡동 1043-0 ,서울특별시 강서구 화곡동 1043-0,126.833489084999,37.5411664393045,
컴포즈커피,서울특별시 강서구 양천로 431,서울특별시 강서구 가양동 18-24 ,서울특별시 강서구 가양동 18-24,126.849960213917,37.5642640468035,
샤론,서울특별시 강서구 등촌로 101,서울특별시 강서구 등촌동 564-1 배광교회 (지상 1층) ,서울특별시 강서구 등촌동 564-1,126.86327815078,37.5390161590296,
허니네커피,서울특별시 강서구 강서로45가길 47,서울특별시 강서구 화곡동 1013-13 2층 202호,서울특별시 강서구 화곡동 1013-13,126.835756395755,37.5458702138994,
더와이즈 커피숍,서울특별시 강서구 까치산로 23,서울특별시 강서구 화곡동 105-68 외 4필지 (지상 1층) ,서울특별시 강서구 화곡동 105-68,126.842891765255,37.5420811330984,
탐앤탐스 화곡역점,서울특별시 강서구 화곡로 176-4,서울특별시 강서구 화곡동 1076-1 화곡메디칼 (지상 1~ 2층 일부) ,서울특별시 강서구 화곡동 1076-1,126.841148635684,37.54165776434,
바이주 커피 로스터스(BYJOO COFFEE ROASTERS),서울특별시 강서구 수명로 68-35,서울특별시 강서구 내발산동 750-10 웨스트엔드중정 3층 304호,서울특별시 강서구 내발산동 750-10,126.82677164429,37.5529862473925,
그라나다카페,서울특별시 강서구 허준로5길 37,서울특별시 강서구 가양동 1470-2 (지상 1층) A동 ,서울특별시 강서구 가양동 1470-2,126.851117193596,37.5685363187372,
커피더캠프공덕점,서울특별시 강서구 초원로 50,서울특별시 강서구 방화동 600-26 지하1층 ,서울특별시 강서구 방화동 600-26,126.810878241181,37.5676705239232,
커피에이엠,서울특별시 강서구 화곡로 296,서울특별시 강서구 화곡동 980-21 (지상 1층) 110호,서울특별시 강서구 화곡동 980-21,126.849042833815,37.5505765598689,
카페모아실로암안과병원점(실로암장애인근로사업장),서울특별시 강서구 등촌로 181,서울특별시 강서구 등촌동 512-18 외 1필지 실로암안과병원 (지상 1층) ,서울특별시 강서구 등촌동 512-18,126.86223980574,37.5460169755054,
호텔디아망,서울특별시 강서구 남부순환로 190,서울특별시 강서구 외발산동 280-1 외 2필지 (지하 2층) ,서울특별시 강서구 외발산동 280-1,126.819312984161,37.5484382779299,
칸토빈,서울특별시 강서구 방화동로 지하 30,서울특별시 강서구 공항동 산 20-2 공항시장역 9호선 (지하 1층) ,서울특별시 강서구 공항동 산 20-2,126.810492268589,37.5635555121815,
윤지,서울특별시 강서구 가로공원로84길 7-5,서울특별시 강서구 화곡동 367-116 (지상 1층) ,서울특별시 강서구 화곡동 367-116,126.840518575624,37.5372613004848,
뜰안에,서울특별시 강서구 강서로7길 150,서울특별시 강서구 화곡동 936-8 (지상 1층) ,서울특별시 강서구 화곡동 936-8,126.839434579576,37.5288453010889,
카페인더애틱 Cafe in the Attic,서울특별시 강서구 양천로 19,서울특별시 강서구 방화동 498-4 (지상 1층) 104호,서울특별시 강서구 방화동 498-4,126.806007387736,37.5728161264221,
카페모나티,서울특별시 강서구 남부순환로 222,서울특별시 강서구 외발산동 428-0 서울자동차학원 (지상 1층) 사무동 ,서울특별시 강서구 외발산동 428-0,126.819529654405,37.5460594346556,
커피타라 Coffee Tara,서울특별시 강서구 공항대로55길 10,서울특별시 강서구 등촌동 650-0 (지상 1층) ,서울특별시 강서구 등촌동 650-0,126.860814526264,37.5535248506677,
미스터로티,서울특별시 강서구 강서로 179,서울특별시 강서구 화곡동 1051-27 K빌딩 (지상 1층) ,서울특별시 강서구 화곡동 1051-27,126.839322200876,37.5423627575293,
아시아나타운점 까페,서울특별시 강서구 오정로 443-83,서울특별시 강서구 오쇠동 47-0 외 1필지 (지하 1층) ,서울특별시 강서구 오쇠동 47-0,126.797118543405,37.5463410180897,
커피구멍가게,서울특별시 강서구 화곡로68길 36,서울특별시 강서구 등촌동 639-8 외1필지 에이스에이존 (지상1층) 107호,서울특별시 강서구 등촌동 639-8,126.85659302794,37.5585538483686,
