values,address,area(m2),latitude,longitude
공동주택,서울특별시 강서구 강서로74길 38,444.79,37.5664168,126.8446861
공동주택,서울특별시 강서구 양천로 489,705.04,37.56161295,126.85468240417434
공동주택,서울특별시 강서구 양천로 ,807.2,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 ,599.46,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 ,599.46,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 489,1147.06,37.56161295,126.85468240417434
공동주택,서울특별시 강서구 양천로 ,767.76,37.5733661,126.8166863
공동주택,서울특별시 강서구 강서로 515,135.53,37.5596089,126.838587
공동주택,서울특별시 강서구 강서로 515,236.12,37.5596089,126.838587
공동주택,서울특별시 강서구 강서로 532,4956.9,37.5596089,126.838587
공동주택,서울특별시 강서구 강서로 ,632.4,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 532,971.46,37.5596089,126.838587
공동주택,서울특별시 강서구 강서로 532,747.34,37.5596089,126.838587
공동주택,서울특별시 강서구 강서로 ,632.4,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 ,750.44,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 ,744.42,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 ,632.4,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 532,8503.3,37.5596089,126.838587
공동주택,서울특별시 강서구 강서로 532,3988.87,37.5596089,126.838587
공동주택,서울특별시 강서구 강서로 ,632.4,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 ,750.44,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 ,632.4,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 ,428.41,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 ,632.4,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 ,744.42,37.5395003,126.8419741
공동주택,서울특별시 강서구 양천로51길 13-6,166.35,37.5689273,126.8432595
공동주택,서울특별시 강서구 강서로76길 11-10,84.9,37.5691768,126.8428947
공동주택,서울특별시 강서구 강서로76길 11-7,82.72,37.5691768,126.8428947
공동주택,서울특별시 강서구 강서로76길 11-3,83.72,37.5691768,126.8428947
공동주택,서울특별시 강서구 강서로76길 11-1,83.44,37.5691768,126.8428947
공동주택,서울특별시 강서구 양천로51길 27,69.25,37.5689273,126.8432595
공동주택,서울특별시 강서구 강서로76길 26,124.56,37.5691768,126.8428947
공동주택,서울특별시 강서구 강서로76길 9-10,25619.55,37.5691768,126.8428947
공동주택,서울특별시 강서구 강서로76길 24,124.56,37.5691768,126.8428947
공동주택,서울특별시 강서구 강서로76길 10-3,91.32,37.5691768,126.8428947
공동주택,서울특별시 강서구 허준로 ,9102.23,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,9102.23,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,9102.23,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,9102.23,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,9102.23,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,9102.23,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,9102.23,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,9102.23,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,9102.23,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,9102.23,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,9102.23,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,9102.23,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1395.36,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1410.5,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1932.58,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1265.54,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1739.65,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1932.58,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1410.5,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1265.54,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1395.36,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,406.1,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1410.5,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 16-9,12.96,37.56996195,126.84402632312836
공동주택,서울특별시 강서구 허준로 16-9,1221.11,37.56996195,126.84402632312836
공동주택,서울특별시 강서구 허준로 16-9,12.96,37.56996195,126.84402632312836
공동주택,서울특별시 강서구 허준로 55-20,526.15,37.5700767,126.8491188801639
공동주택,서울특별시 강서구 허준로 55-20,17.82,37.5700767,126.8491188801639
