,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
196,23260840,버블베어,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150064100,방화3동,1150010900,방화동,1150010900108190000,1,대지,819,,서울특별시 강서구 방화동 819,115003115002,서울특별시 강서구 금낭화로,167,,1150010900108190000000160,방화8단지개화아파트,서울특별시 강서구 금낭화로 167,157788,7509.0,,1,,126.813358391338,37.5809414781492
900,23739181,홈플러스어라운드홈,강서점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150052000,등촌1동,1150010200,등촌동,1150010200106390011,1,대지,639,11.0,서울특별시 강서구 등촌동 639-11,115003005069,서울특별시 강서구 화곡로,398,,1150010200106390011027411,삼성홈플러스강서점,서울특별시 강서구 화곡로 398,157030,7567.0,,1,,126.854800245129,37.5584556189768
1440,20604027,소풍가는날,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150051000,염창동,1150010100,염창동,1150010100102670019,1,대지,267,19.0,서울특별시 강서구 염창동 267-19,115004145208,서울특별시 강서구 공항대로59다길,85,,1150010100102670019028102,대진빌딩,서울특별시 강서구 공항대로59다길 85,157863,7554.0,,1,,126.867994948895,37.551879173173
1653,26329404,오가다,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150062000,공항동,1150010800,공항동,1150010800113700000,1,대지,1370,,서울특별시 강서구 공항동 1370,115004145490,서울특별시 강서구 하늘길,260,,1150010700104230000009205,대한항공,서울특별시 강서구 하늘길 260,157712,7505.0,,2,,126.81426973535,37.5477387116096
2173,25343842,카페티라수,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150051000,염창동,1150010100,염창동,1150010100102580001,1,대지,258,1.0,서울특별시 강서구 염창동 258-1,115003115008,서울특별시 강서구 양천로,731,,1150010100102580001028179,동아3차아파트,서울특별시 강서구 양천로 731,157862,7539.0,,1,,126.877378933564,37.5502387818799
3500,23194541,커피볶는집와플에숍,와플에숍,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150059300,화곡8동,1150010300,화곡동,1150010300103410046,1,대지,341,46.0,서울특별시 강서구 화곡동 341-46,115004145020,서울특별시 강서구 강서로16길,20,,1150010300103410046011845,진안독서실,서울특별시 강서구 강서로16길 20,157010,7757.0,,1,,126.847352054858,37.5327847482741
4224,28515341,애프터커피숍,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300,화곡동,1150010300103770010,1,대지,377,10.0,서울특별시 강서구 화곡동 377-10,115003000009,서울특별시 강서구 가로공원로,183,,1150010300103770013014363,성심치과의원,서울특별시 강서구 가로공원로 183,157010,7718.0,,1,,126.836250847924,37.5372711476872
4463,23248481,알랑가,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061500,우장산동,1150010600,내발산동,1150010600106770001,1,대지,677,1.0,서울특별시 강서구 내발산동 677-1,115003115001,서울특별시 강서구 강서로,318,8.0,1150010600106770001008084,두리빌딩,서울특별시 강서구 강서로 318-8,157280,7680.0,,1,,126.837437758515,37.5541051360342
4507,25845544,바빈스커피,등촌점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150051000,염창동,1150010100,염창동,1150010100102720009,1,대지,272,9.0,서울특별시 강서구 염창동 272-9,115002005007,서울특별시 강서구 공항대로,549,,1150010100102720009027862,,서울특별시 강서구 공항대로 549,157863,7561.0,,,,126.867058351273,37.5502032744875
4721,25751001,카카오독애견카페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150057000,화곡4동,1150010300,화곡동,1150010300107820011,1,대지,782,11.0,서울특별시 강서구 화곡동 782-11,115004145166,서울특별시 강서구 곰달래로60길,33,,1150010300107820011020490,,서울특별시 강서구 곰달래로60길 33,157010,7786.0,,1,,126.863267761603,37.5307855466084
