자치구,단속건수,단속건수_1,단속건수_2,단속건수_3,단속건수_4,단속건수_5
자치구,2017,2018,2019,2020,2021,2022
합계,2978638,2791444,2766326,2315658,2175786,2081066
종로,165695,160528,164079,183481,162739,112082
중구,183394,158119,172213,153967,155137,182320
용산,91682,94529,65339,70902,72531,83674
성동,113105,92167,86771,64482,63102,60161
광진,69844,65839,61448,60043,58019,42221
동대문,73582,88106,84899,98551,80911,71294
중랑,58299,47691,46548,37111,38434,41410
성북,50329,49560,59805,50663,41141,40401
강북,61815,50378,59388,52034,53283,47523
도봉,57403,60759,55876,42378,50329,48377
노원,81793,82001,80343,61993,55574,58605
은평,102568,94238,101536,74121,69261,52757
서대문,68093,64355,67032,52186,42421,45879
마포,155812,153066,153511,115731,100582,95923
양천,112341,106517,116091,87355,75744,70248
강서,105974,148538,175000,170141,182210,145065
구로,106143,99637,97027,76618,66904,69162
금천,56800,55896,59891,53328,52403,44746
영등포,159341,166145,163508,136373,107341,101742
동작,77595,71541,75463,56196,54046,57340
관악,106327,108822,108397,84144,89539,83226
서초,224971,226984,195046,155582,141181,138560
강남,410681,296820,289884,176273,192211,234023
송파,179064,155516,147977,131855,126284,97753
강동,105987,93692,79254,70150,44459,56574
