기준_년월_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2021,1,A,골목상권,1000007,북촌로5길,503,419,84,0,31,177,156,102,37,0,19,150,133,88,29,0,12,27,23,14,8
2021,1,A,골목상권,1000756,사당로8길,131,70,61,0,16,19,41,37,18,0,2,9,24,22,13,0,14,10,17,15,5
2021,1,R,전통시장,1001278,남평화시장,5,3,2,0,0,4,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0
2021,1,A,골목상권,1000058,백범로90길,535,288,247,0,62,133,161,112,67,0,28,71,89,57,43,0,34,62,72,55,24
2021,1,A,골목상권,1000059,서빙고로71길,432,265,167,1,40,104,117,81,89,0,14,49,58,64,80,1,26,55,59,17,9
2021,1,A,골목상권,1000060,소월로20길,151,76,75,0,28,48,37,30,8,0,8,24,17,20,7,0,20,24,20,10,1
2021,1,A,골목상권,1000061,신흥로20길,178,118,60,0,26,36,57,37,22,0,11,27,40,27,13,0,15,9,17,10,9
2021,1,A,골목상권,1000062,우사단로10길,570,508,62,1,64,165,163,156,21,0,41,143,156,151,17,1,23,22,7,5,4
2021,1,A,골목상권,1000063,우사단로14길,1987,984,1003,9,439,854,523,137,25,2,107,386,353,120,16,7,332,468,170,17,9
2021,1,A,골목상권,1000064,우사단로4길,308,143,165,0,72,52,54,83,47,0,11,31,32,42,27,0,61,21,22,41,20
2021,1,A,골목상권,1000065,원효로19길,609,435,174,5,69,152,173,124,86,1,33,108,124,99,70,4,36,44,49,25,16
2021,1,A,골목상권,1000066,원효로41길,243,153,90,2,59,54,52,50,26,2,30,39,32,26,24,0,29,15,20,24,2
2021,1,A,골목상권,1000067,원효로53길,341,222,119,7,30,72,85,86,61,6,16,51,61,50,38,1,14,21,24,36,23
2021,1,A,골목상권,1000068,원효로89길,1387,969,418,4,273,447,297,244,122,2,173,325,213,178,78,2,100,122,84,66,44
2021,1,A,골목상권,1000069,이촌로22길,385,307,78,0,38,71,113,138,25,0,21,48,99,124,15,0,17,23,14,14,10
2021,1,A,골목상권,1000070,이태원로27길,567,430,137,1,86,123,136,165,56,1,40,79,114,149,47,0,46,44,22,16,9
2021,1,A,골목상권,1000071,이태원로54길,812,552,260,6,245,319,164,41,37,6,145,233,116,27,25,0,100,86,48,14,12
2021,1,A,골목상권,1000072,장문로45길,242,106,136,0,23,76,58,39,46,0,2,34,16,19,35,0,21,42,42,20,11
2021,1,A,골목상권,1000073,청파로47길,192,87,105,1,18,35,64,39,35,1,7,16,27,16,20,0,11,19,37,23,15
2021,1,A,골목상권,1000074,청파로47나길,259,176,83,0,32,55,68,56,48,0,15,38,54,36,33,0,17,17,14,20,15
2021,1,A,골목상권,1000075,청파로71길,1317,727,590,1,193,334,322,264,203,0,71,146,153,183,174,1,122,188,169,81,29
2021,1,A,골목상권,1000076,청파로73길,248,128,120,1,40,63,61,45,38,0,11,26,27,29,35,1,29,37,34,16,3
2021,1,A,골목상권,1000077,한강대로104길,8152,1754,6398,152,5983,1336,333,182,166,9,597,651,235,136,126,143,5386,685,98,46,40
2021,1,A,골목상권,1000078,한강대로15길,774,417,357,2,166,273,182,92,59,2,54,127,119,69,46,0,112,146,63,23,13
2021,1,A,골목상권,1000079,한강대로43길,1841,1074,767,5,286,556,516,295,183,4,118,312,332,176,132,1,168,244,184,119,51
2021,1,A,골목상권,1000080,한강대로52길,8713,2847,5866,57,2665,3036,2078,653,224,26,938,1015,544,215,109,31,1727,2021,1534,438,115
2021,1,A,골목상권,1000081,한강대로62길,1047,535,512,1,171,234,275,263,103,1,97,112,157,115,53,0,74,122,118,148,50
2021,1,A,골목상권,1000082,한강대로7길,722,462,260,7,153,146,135,114,167,4,88,97,96,68,109,3,65,49,39,46,58
