gid,constructurearea_lbl,constructurearea_val,경도,위도
占썬끉沅?5aa50ba,,,126.765526,37.552687
占썬끉沅?5aa50bb,,,126.765504,37.554940
占썬끉沅?5aa51aa,,,126.765482,37.557193
占썬끉沅?5ab50ab,,,126.768379,37.550451
占썬끉沅?5ab50ba,,,126.768356,37.552704
占썬끉沅?5ab50bb,173.77,173.7700000000000000000000000000000,126.768334,37.554958
占썬끉沅?5ab51aa,222.68,222.6800000000000000000000000000000,126.768312,37.557211
占썬끉沅?5ba50aa,,,126.771230,37.548215
占썬끉沅?5ba50ab,,,126.771209,37.550469
占썬끉沅?5ba50ba,,,126.771187,37.552722
占썬끉沅?5ba50bb,,,126.771165,37.554975
占썬끉沅?5ba51aa,,,126.771143,37.557228
占썬끉沅?5ba51ab,,,126.771121,37.559481
占썬끉沅?5bb50aa,,,126.774060,37.548233
占썬끉沅?5bb50ab,,,126.774039,37.550486
占썬끉沅?5bb50ba,,,126.774017,37.552739
占썬끉沅?5bb50bb,,,126.773995,37.554992
占썬끉沅?5bb51aa,,,126.773973,37.557246
占썬끉沅?5bb51ab,,,126.773951,37.559499
占썬끉沅?5bb51ba,,,126.773929,37.561752
占썬끉沅?5bb52aa,,,126.773886,37.566259
占썬끉沅?5bb52ab,,,126.773864,37.568512
占썬끉沅?6aa49bb,,,126.776912,37.545997
占썬끉沅?6aa50aa,,,126.776890,37.548250
占썬끉沅?6aa50ab,,,126.776869,37.550503
占썬끉沅?6aa50ba,,,126.776847,37.552757
占썬끉沅?6aa50bb,,,126.776825,37.555010
占썬끉沅?6aa51aa,,,126.776803,37.557263
占썬끉沅?6aa51ab,,,126.776782,37.559516
占썬끉沅?6aa51ba,,,126.776760,37.561769
占썬끉沅?6aa51bb,,,126.776738,37.564023
占썬끉沅?6aa52aa,,,126.776716,37.566276
占썬끉沅?6aa52ab,,,126.776694,37.568529
占썬끉沅?6ab49bb,,,126.779742,37.546014
占썬끉沅?6ab50aa,,,126.779720,37.548267
占썬끉沅?6ab50ab,,,126.779699,37.550521
占썬끉沅?6ab50ba,,,126.779677,37.552774
占썬끉沅?6ab50bb,206.00,206.0000000000000000000000000000000,126.779655,37.555027
占썬끉沅?6ab51aa,198.00,198.0000000000000000000000000000000,126.779634,37.557280
占썬끉沅?6ab51ab,,,126.779612,37.559534
占썬끉沅?6ab51ba,,,126.779590,37.561787
占썬끉沅?6ab51bb,,,126.779569,37.564040
占썬끉沅?6ab52aa,,,126.779547,37.566293
