gid,landprice_lbl,landprice_val,경도,위도
占썬끉沅?5aa50ba,,,126.765526,37.552687
占썬끉沅?5aa50bb,106472.51,106472.5099999990000000000000000000000,126.765504,37.554940
占썬끉沅?5aa51aa,80967.96,80967.9600000000000000000000000000000,126.765482,37.557193
占썬끉沅?5ab50ab,58400.64,58400.6399999998000000000000000000000,126.768379,37.550451
占썬끉沅?5ab50ba,210041.58,210041.5799999990000000000000000000000,126.768356,37.552704
占썬끉沅?5ab50bb,383737.13,383737.1300000000000000000000000000000,126.768334,37.554958
占썬끉沅?5ab51aa,326212.56,326212.5599999990000000000000000000000,126.768312,37.557211
占썬끉沅?5ba50aa,81711.05,81711.0500000000000000000000000000000,126.771230,37.548215
占썬끉沅?5ba50ab,150130.02,150130.0199999990000000000000000000000,126.771209,37.550469
占썬끉沅?5ba50ba,165646.33,165646.3299999990000000000000000000000,126.771187,37.552722
占썬끉沅?5ba50bb,175451.72,175451.7200000000000000000000000000000,126.771165,37.554975
占썬끉沅?5ba51aa,175140.36,175140.3599999990000000000000000000000,126.771143,37.557228
占썬끉沅?5ba51ab,169713.03,169713.0299999990000000000000000000000,126.771121,37.559481
占썬끉沅?5bb50aa,,,126.774060,37.548233
占썬끉沅?5bb50ab,141790.89,141790.8900000000000000000000000000000,126.774039,37.550486
占썬끉沅?5bb50ba,161650.52,161650.5199999990000000000000000000000,126.774017,37.552739
占썬끉沅?5bb50bb,155955.01,155955.0100000000000000000000000000000,126.773995,37.554992
占썬끉沅?5bb51aa,166776.76,166776.7600000000000000000000000000000,126.773973,37.557246
占썬끉沅?5bb51ab,164053.94,164053.9400000000000000000000000000000,126.773951,37.559499
占썬끉沅?5bb51ba,178550.75,178550.7500000000000000000000000000000,126.773929,37.561752
占썬끉沅?5bb52aa,55693.74,55693.7399999999000000000000000000000,126.773886,37.566259
占썬끉沅?5bb52ab,,,126.773864,37.568512
占썬끉沅?6aa49bb,161499.98,161499.9800000000000000000000000000000,126.776912,37.545997
占썬끉沅?6aa50aa,145755.63,145755.6300000000000000000000000000000,126.776890,37.548250
占썬끉沅?6aa50ab,154197.58,154197.5799999990000000000000000000000,126.776869,37.550503
占썬끉沅?6aa50ba,161350.03,161350.0299999990000000000000000000000,126.776847,37.552757
占썬끉沅?6aa50bb,156837.58,156837.5799999990000000000000000000000,126.776825,37.555010
占썬끉沅?6aa51aa,167656.07,167656.0700000000000000000000000000000,126.776803,37.557263
占썬끉沅?6aa51ab,158624.57,158624.5700000000000000000000000000000,126.776782,37.559516
占썬끉沅?6aa51ba,226014.74,226014.7399999990000000000000000000000,126.776760,37.561769
占썬끉沅?6aa51bb,284742.82,284742.8200000000000000000000000000000,126.776738,37.564023
占썬끉沅?6aa52aa,66815.56,66815.5599999999000000000000000000000,126.776716,37.566276
占썬끉沅?6aa52ab,,,126.776694,37.568529
占썬끉沅?6ab49bb,159460.76,159460.7600000000000000000000000000000,126.779742,37.546014
占썬끉沅?6ab50aa,156545.23,156545.2300000000000000000000000000000,126.779720,37.548267
占썬끉沅?6ab50ab,143710.32,143710.3200000000000000000000000000000,126.779699,37.550521
占썬끉沅?6ab50ba,153014.26,153014.2600000000000000000000000000000,126.779677,37.552774
占썬끉沅?6ab50bb,161691.79,161691.7900000000000000000000000000000,126.779655,37.555027
占썬끉沅?6ab51aa,211818.84,211818.8399999990000000000000000000000,126.779634,37.557280
占썬끉沅?6ab51ab,219833.14,219833.1400000000000000000000000000000,126.779612,37.559534
占썬끉沅?6ab51ba,420954.45,420954.4500000000000000000000000000000,126.779590,37.561787
占썬끉沅?6ab51bb,208179.89,208179.8900000000000000000000000000000,126.779569,37.564040
占썬끉沅?6ab52aa,,,126.779547,37.566293
占썬끉沅?6ab52ab,,,126.779525,37.568546
占썬끉沅?6ab52ba,,,126.779503,37.570800
占썬끉沅?6ba49bb,160344.68,160344.6799999990000000000000000000000,126.782572,37.546032
占썬끉沅?6ba50aa,153192.59,153192.5899999990000000000000000000000,126.782550,37.548285
占썬끉沅?6ba50ab,145302.83,145302.8299999990000000000000000000000,126.782529,37.550538
占썬끉沅?6ba50ba,193130.36,193130.3599999990000000000000000000000,126.782507,37.552791
占썬끉沅?6ba50bb,198999.99,198999.9899999990000000000000000000000,126.782486,37.555044
占썬끉沅?6ba51aa,199874.62,199874.6199999990000000000000000000000,126.782464,37.557298
占썬끉沅?6ba51ab,624347.15,624347.1500000000000000000000000000000,126.782442,37.559551
占썬끉沅?6ba51ba,470112.05,470112.0499999990000000000000000000000,126.782421,37.561804
占썬끉沅?6ba51bb,,,126.782399,37.564057
占썬끉沅?6ba52aa,390499.96,390499.9600000000000000000000000000000,126.782378,37.566310
占썬끉沅?6ba52ab,390483.64,390483.6400000000000000000000000000000,126.782356,37.568564
占썬끉沅?6ba52ba,144693.26,144693.2600000000000000000000000000000,126.782334,37.570817
占썬끉沅?6ba52bb,153820.39,153820.3900000000000000000000000000000,126.782313,37.573070
占썬끉沅?6bb49bb,127325.97,127325.9700000000000000000000000000000,126.785402,37.546049
占썬끉沅?6bb50aa,232347.76,232347.7600000000000000000000000000000,126.785380,37.548302
占썬끉沅?6bb50ab,202708.11,202708.1099999990000000000000000000000,126.785359,37.550555
占썬끉沅?6bb50ba,515386.64,515386.6400000000000000000000000000000,126.785337,37.552808
占썬끉沅?6bb50bb,258468.58,258468.5799999990000000000000000000000,126.785316,37.555062
占썬끉沅?6bb51aa,732304.75,732304.7500000000000000000000000000000,126.785294,37.557315
占썬끉沅?6bb51ab,,,126.785273,37.559568
占썬끉沅?6bb51ba,390513.67,390513.6699999990000000000000000000000,126.785251,37.561821
占썬끉沅?6bb51bb,,,126.785230,37.564074
占썬끉沅?6bb52aa,390498.75,390498.7500000000000000000000000000000,126.785208,37.566328
占썬끉沅?6bb52ab,150303.76,150303.7600000000000000000000000000000,126.785187,37.568581
