"동별(1)",동별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"동별(1)",동별(2),합계,합계,합계,합계,합계,합계,노상,노상,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,노외,노외,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,합계,합계,합계,합계,합계,합계,노상,노상,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,노외,노외,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,합계,합계,합계,합계,합계,합계,노상,노상,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,노외,노외,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,합계,합계,합계,합계,합계,합계,노상,노상,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,노외,노외,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,합계,합계,합계,합계,합계,합계,노상,노상,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,노외,노외,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설
"동별(1)",동별(2),소계,소계,공영,공영,민영,민영,소계,소계,시영,시영,구영,구영,소계,소계,시영,시영,구영,구영,민영,민영,소계,소계,일반주택,일반주택,공동주택,공동주택,일반건축물,일반건축물,소계,소계,공영,공영,민영,민영,소계,소계,시영,시영,구영,구영,소계,소계,시영,시영,구영,구영,민영,민영,소계,소계,일반주택,일반주택,공동주택,공동주택,일반건축물,일반건축물,소계,소계,공영,공영,민영,민영,소계,소계,시영,시영,구영,구영,소계,소계,시영,시영,구영,구영,민영,민영,소계,소계,일반주택,일반주택,공동주택,공동주택,일반건축물,일반건축물,소계,소계,공영,공영,민영,민영,소계,소계,시영,시영,구영,구영,소계,소계,시영,시영,구영,구영,민영,민영,소계,소계,일반주택,일반주택,공동주택,공동주택,일반건축물,일반건축물,소계,소계,공영,공영,민영,민영,소계,소계,시영,시영,구영,구영,소계,소계,시영,시영,구영,구영,민영,민영,소계,소계,일반주택,일반주택,공동주택,공동주택,일반건축물,일반건축물
"동별(1)",동별(2),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수)
"합계",소계,306438,4129723,9838,193859,296600,3935864,8767,121810,75,2219,8692,119591,2045,110172,64,15409,1007,56640,974,38123,295626,3897741,121716,296633,82675,2120044,91235,1481064,314392,4250682,11083,187446,303309,4063236,9859,115692,70,2019,9789,113673,2074,100773,65,15474,1159,56280,850,29019,302459,4034217,128636,326562,81575,2118106,92248,1589549,317181,4327614,12484,183441,304697,4144173,11407,112177,68,1910,11339,110267,1907,100489,65,15321,1012,55943,830,29225,303867,4114948,127932,348177,82399,2161660,93536,1605111,314440,4354516,11934,180488,302506,4174028,10836,107530,64,1698,10772,105832,1956,106862,67,15421,1031,57537,858,33904,301648,4140124,131076,347571,83955,2209613,86617,1582940,309726,4501875,12304,177281,297422,4324594,11235,104496,63,1692,11172,102804,1857,101064,68,15165,1001,57620,788,28279,296634,4296315,115597,282426,87393,2361583,93644,1652306
"합계",종로구,7414,94485,190,6146,7224,88339,157,2394,11,400,146,1994,105,6314,5,2685,28,1067,72,2562,7152,85777,2899,6723,1524,22998,2729,56056,7103,95350,194,6142,6909,89208,151,2187,10,342,141,1845,110,6545,5,2668,38,1287,67,2590,6842,86618,2835,7170,1507,25236,2500,54212,7111,95048,197,6158,6914,88890,152,2136,10,343,142,1793,112,6321,5,2668,40,1354,67,2299,6847,86591,2841,7179,1507,25236,2499,54176,7187,96350,188,5919,6999,90431,151,2095,10,340,141,1755,107,6119,5,2668,32,1156,70,2295,6929,88136,2876,7278,1530,25584,2523,55274,8232,92062,185,5833,8047,86229,147,1987,10,326,137,1661,98,5052,5,2668,33,1178,60,1206,7987,85023,2658,6748,1448,25103,3881,53172
"합계",중구,4227,108240,183,5558,4044,102682,149,1629,20,401,129,1228,101,6943,4,2006,30,1923,67,3014,3977,99668,870,2299,693,27652,2414,69717,4228,107399,178,5408,4050,101991,146,1493,20,387,126,1106,74,5751,4,1995,28,1920,42,1836,4008,100155,866,2320,706,28246,2436,69589,4233,107738,173,5418,4060,102320,144,1283,20,387,124,896,71,5971,4,1995,25,2140,42,1836,4018,100484,862,2301,718,29078,2438,69105,4294,108561,169,5387,4125,103174,139,1228,20,384,119,844,72,5995,5,2035,25,2124,42,1836,4083,101338,862,2286,723,28597,2498,70455,4269,109153,170,5399,4099,103754,139,1236,19,375,120,861,73,5999,5,2034,26,2129,42,1836,4057,101918,865,2293,735,28773,2457,70852
"합계",용산구,7058,113341,404,6511,6654,106830,367,3649,2,21,365,3628,61,3310,4,856,33,2006,24,448,6630,106382,2491,6743,2089,60203,2050,39436,7390,113591,424,6532,6966,107059,380,3609,2,21,378,3588,68,3371,4,849,40,2074,24,448,6942,106611,2710,6694,2047,60428,2185,39489,7441,116870,427,6742,7014,110128,381,3712,2,21,379,3691,70,3478,4,849,42,2181,24,448,6990,109680,2740,7447,2090,61144,2160,41089,7434,110649,391,6387,7043,104262,353,3474,2,21,351,3453,64,3481,4,849,34,2064,26,568,7017,103694,2726,6242,2119,57834,2172,39618,7383,118632,386,6375,6997,112257,345,3403,2,21,343,3382,71,3596,4,847,37,2125,30,624,6967,111633,2708,6264,2121,63687,2138,41682
"합계",성동구,6222,121228,560,7567,5662,113661,527,5069,2,57,525,5012,71,3683,-,-,33,2498,38,1185,5624,112476,2223,4868,866,66485,2535,41123,6649,133724,287,8174,6362,125550,254,5660,2,57,252,5603,72,3727,-,-,33,2514,39,1213,6323,124337,2813,5658,817,62956,2693,55723,6659,133161,278,7040,6381,126121,249,4749,1,40,248,4709,68,3504,1,10,28,2281,39,1213,6342,124908,2925,6539,892,75811,2525,42558,6671,134107,267,6857,6404,127250,237,4495,1,31,236,4464,73,3667,1,10,29,2352,43,1305,6361,125945,2936,6551,893,75814,2532,43580,6711,134544,270,7056,6441,127488,236,4278,1,31,235,4247,59,3436,1,10,33,2768,25,658,6416,126830,2948,6577,894,75816,2574,44437
"합계",광진구,16382,129859,409,5979,15973,123880,363,3426,1,18,362,3408,68,3261,-,-,46,2553,22,708,15951,123172,8728,21964,3552,55349,3671,45859,17495,138741,1350,5619,16145,133122,1278,3311,1,18,1277,3293,95,2675,-,-,72,2308,23,367,16122,132755,7891,22964,3506,56434,4725,53357,19566,138795,2982,5369,16584,133426,2910,3193,1,18,2909,3175,89,2494,-,-,72,2176,17,318,16567,133108,8915,25259,3962,62490,3690,45359,18992,137040,2748,5063,16244,131977,2672,2960,1,19,2671,2941,104,2683,-,-,76,2103,28,580,16216,131397,8887,25149,3979,62597,3350,43651,20444,134389,3063,4856,17381,129533,3014,3032,1,19,3013,3013,70,2273,-,-,49,1824,21,449,17360,129084,9248,21926,4365,63783,3747,43375
"합계",동대문구,9375,135626,59,6751,9316,128875,29,4471,2,134,27,4337,47,2754,2,159,28,2121,17,474,9299,128401,3929,9010,1653,72674,3717,46717,10455,138200,685,6026,9770,132174,655,4254,2,128,653,4126,49,2631,2,159,28,1613,19,859,9751,131315,4290,9545,1753,74249,3708,47521,10293,142300,616,5922,9677,136378,586,3998,2,128,584,3870,49,2783,2,159,28,1765,19,859,9658,135519,4201,9606,1765,76453,3692,49460,10132,148063,610,6191,9522,141872,577,3920,2,128,575,3792,52,3130,3,233,30,2038,19,859,9503,141013,4130,9487,1730,81460,3643,50066,10080,148103,603,5862,9477,142241,569,3733,1,103,568,3630,48,2409,3,233,31,1896,14,280,9463,141961,4074,9395,1750,81835,3639,50731
